user,arn,user_creation_time,password_enabled,password_last_used,password_last_changed,password_next_rotation,mfa_active,access_key_1_active,access_key_1_last_rotated,access_key_1_last_used_date,access_key_1_last_used_region,access_key_1_last_used_service,access_key_2_active,access_key_2_last_rotated,access_key_2_last_used_date,access_key_2_last_used_region,access_key_2_last_used_service,cert_1_active,cert_1_last_rotated,cert_2_active,cert_2_last_rotated
<root_account>,arn:aws:iam::226340078480:root,2015-09-10T03:02:43Z,true,2025-10-22T08:27:28Z,2021-06-16T08:30:23Z,not_supported,true,true,2015-09-11T00:52:58Z,2018-04-03T09:31:00Z,ap-northeast-2,s3,false,N/A,N/A,N/A,N/A,false,N/A,false,N/A
adjust-backup,arn:aws:iam::226340078480:user/adjust-backup,2018-08-22T08:30:03Z,false,N/A,N/A,N/A,false,true,2018-08-22T08:30:03Z,2020-08-06T09:02:00Z,us-east-1,s3,true,2020-08-06T09:39:02Z,2022-11-03T12:01:00Z,us-east-1,s3,false,N/A,false,N/A
admincli,arn:aws:iam::226340078480:user/admincli,2016-12-20T02:17:10Z,false,N/A,N/A,N/A,false,true,2016-12-20T02:17:11Z,2020-11-19T01:58:00Z,ap-northeast-2,cloudformation,true,2020-02-14T02:57:45Z,2021-08-03T22:32:00Z,ap-northeast-2,s3,false,N/A,false,N/A
agora-glam-live-streaming,arn:aws:iam::226340078480:user/agora-glam-live-streaming,2022-02-24T05:45:05Z,false,N/A,N/A,N/A,false,true,2022-02-24T05:45:05Z,2022-12-05T17:22:00Z,ap-northeast-2,s3,false,N/A,N/A,N/A,N/A,false,N/A,false,N/A
alex,arn:aws:iam::226340078480:user/alex,2025-09-22T02:15:24Z,true,2025-12-10T02:21:23Z,2025-09-22T03:19:40Z,N/A,true,true,2025-11-25T11:09:49Z,2025-12-10T03:40:00Z,ap-northeast-2,ecs,false,N/A,N/A,N/A,N/A,false,N/A,false,N/A
alphaz-prod,arn:aws:iam::226340078480:user/alphaz-prod,2023-06-02T07:19:21Z,false,N/A,N/A,N/A,false,true,2023-06-02T07:20:02Z,2025-12-10T05:38:00Z,ap-northeast-2,es,false,N/A,N/A,N/A,N/A,false,N/A,false,N/A
amplify-liveness-enpfy,arn:aws:iam::226340078480:user/amplify-liveness-enpfy,2023-11-09T11:00:00Z,false,N/A,N/A,N/A,false,true,2023-11-09T11:00:25Z,2023-11-14T07:26:00Z,ap-northeast-1,cloudformation,false,N/A,N/A,N/A,N/A,false,N/A,false,N/A
amplify-prod,arn:aws:iam::226340078480:user/amplify-prod,2023-11-14T08:08:43Z,false,N/A,N/A,N/A,false,true,2023-11-14T08:09:05Z,2025-12-10T05:49:00Z,ap-northeast-1,rekognition,false,N/A,N/A,N/A,N/A,false,N/A,false,N/A
apollo-prod,arn:aws:iam::226340078480:user/apollo-prod,2022-09-07T12:40:40Z,false,N/A,N/A,N/A,false,true,2022-09-07T12:40:41Z,2025-12-10T05:39:00Z,ap-northeast-2,rekognition,false,N/A,N/A,N/A,N/A,false,N/A,false,N/A
ares-prod,arn:aws:iam::226340078480:user/ares-prod,2022-04-06T03:42:54Z,false,N/A,N/A,N/A,false,true,2022-04-06T03:42:56Z,2022-06-27T04:08:00Z,ap-northeast-2,ecs,false,N/A,N/A,N/A,N/A,false,N/A,false,N/A
argos-prod,arn:aws:iam::226340078480:user/argos-prod,2022-09-14T08:46:54Z,false,N/A,N/A,N/A,false,true,2022-09-14T08:46:56Z,2025-12-08T03:46:00Z,ap-northeast-2,codedeploy,false,N/A,N/A,N/A,N/A,false,N/A,false,N/A
artemis-prod,arn:aws:iam::226340078480:user/artemis-prod,2021-10-05T03:29:14Z,false,N/A,N/A,N/A,false,true,2021-10-05T03:29:16Z,2025-08-27T05:38:00Z,ap-northeast-2,s3,false,N/A,N/A,N/A,N/A,false,N/A,false,N/A
aws-rekognition-full,arn:aws:iam::226340078480:user/aws-rekognition-full,2024-07-16T17:37:30Z,false,N/A,N/A,N/A,false,true,2024-07-16T17:38:17Z,2024-12-19T04:42:00Z,ap-northeast-2,s3,false,N/A,N/A,N/A,N/A,false,N/A,false,N/A
ben,arn:aws:iam::226340078480:user/ben,2018-01-02T07:38:56Z,true,2023-04-21T02:06:25Z,2018-01-02T07:40:52Z,N/A,true,true,2018-01-02T07:38:58Z,2018-09-13T09:03:00Z,us-east-1,mobilehub,true,2020-03-27T03:58:16Z,2022-05-17T11:00:00Z,ap-northeast-2,glue,false,N/A,false,N/A
bitbucket,arn:aws:iam::226340078480:user/bitbucket,2019-04-10T01:30:25Z,false,N/A,N/A,N/A,false,true,2019-04-10T01:30:26Z,2025-11-06T01:30:00Z,ap-northeast-2,ecr,true,2020-06-08T09:07:36Z,2021-06-18T10:56:00Z,ap-northeast-2,ecr,false,N/A,false,N/A
bitbucket-jessie,arn:aws:iam::226340078480:user/bitbucket-jessie,2020-06-15T10:23:00Z,false,N/A,N/A,N/A,false,true,2020-06-15T10:23:01Z,N/A,N/A,N/A,false,N/A,N/A,N/A,N/A,false,N/A,false,N/A
bum,arn:aws:iam::226340078480:user/bum,2025-04-30T08:50:14Z,true,2025-12-10T03:25:45Z,2025-04-30T08:51:47Z,N/A,true,true,2025-09-11T08:19:58Z,2025-11-25T03:58:00Z,ap-northeast-2,ecs,false,N/A,N/A,N/A,N/A,false,N/A,false,N/A
cartman-deploy,arn:aws:iam::226340078480:user/cartman-deploy,2020-06-02T06:06:18Z,false,N/A,N/A,N/A,false,true,2020-06-02T06:06:20Z,2020-10-27T07:07:00Z,ap-northeast-2,codedeploy,false,N/A,N/A,N/A,N/A,false,N/A,false,N/A
cartman-server,arn:aws:iam::226340078480:user/cartman-server,2020-05-14T03:39:26Z,false,N/A,N/A,N/A,false,true,2020-05-14T03:39:27Z,2020-11-06T00:00:00Z,ap-northeast-2,ssm,false,N/A,N/A,N/A,N/A,false,N/A,false,N/A
charmy-test-server,arn:aws:iam::226340078480:user/charmy-test-server,2022-09-19T04:06:18Z,false,N/A,N/A,N/A,false,true,2022-09-19T04:06:20Z,N/A,N/A,N/A,false,N/A,N/A,N/A,N/A,false,N/A,false,N/A
charmyappserver,arn:aws:iam::226340078480:user/charmyappserver,2016-09-07T07:50:31Z,false,N/A,N/A,N/A,false,true,2016-09-07T07:50:31Z,2025-12-10T05:40:00Z,ap-northeast-2,sqs,false,N/A,N/A,N/A,N/A,false,N/A,false,N/A
charmymanagement,arn:aws:iam::226340078480:user/charmymanagement,2016-09-08T09:56:50Z,false,N/A,N/A,N/A,false,true,2016-09-08T09:56:50Z,2023-04-14T02:13:00Z,ap-northeast-2,s3,true,2020-02-24T09:59:32Z,2022-03-10T12:13:00Z,ap-northeast-2,ecs,false,N/A,false,N/A
cthulu-prod,arn:aws:iam::226340078480:user/cthulu-prod,2023-07-19T05:19:31Z,false,N/A,N/A,N/A,false,true,2023-07-19T05:20:05Z,2025-11-21T07:04:00Z,ap-northeast-2,secretsmanager,false,N/A,N/A,N/A,N/A,false,N/A,false,N/A
cuba,arn:aws:iam::226340078480:user/cuba,2022-02-14T09:10:55Z,true,2024-07-11T06:27:05Z,2024-07-11T05:54:51Z,N/A,true,false,2022-02-14T09:10:55Z,2022-05-09T03:48:00Z,us-east-1,wafv2,true,2022-05-09T03:58:53Z,2023-08-28T03:05:00Z,ap-northeast-2,sts,false,N/A,false,N/A
cupist-web-s3,arn:aws:iam::226340078480:user/cupist-web-s3,2024-09-11T17:45:56Z,false,N/A,N/A,N/A,false,true,2024-09-11T17:46:47Z,2025-12-10T05:38:00Z,ap-northeast-2,s3,false,N/A,N/A,N/A,N/A,false,N/A,false,N/A
cupistmonitoring,arn:aws:iam::226340078480:user/cupistmonitoring,2016-09-07T09:20:07Z,false,N/A,N/A,N/A,false,true,2016-09-07T09:20:07Z,2017-10-29T13:32:00Z,us-east-1,consoleapp,false,N/A,N/A,N/A,N/A,false,N/A,false,N/A
daun,arn:aws:iam::226340078480:user/daun,2021-05-03T01:08:32Z,true,2022-05-04T02:13:46Z,2021-08-13T08:10:57Z,N/A,true,true,2021-05-03T01:08:34Z,2021-10-05T03:00:00Z,ap-northeast-2,rekognition,false,N/A,N/A,N/A,N/A,false,N/A,false,N/A
derek,arn:aws:iam::226340078480:user/derek,2020-05-06T06:51:07Z,true,2023-07-31T06:15:36Z,2021-07-22T05:37:01Z,N/A,true,true,2020-05-06T06:51:08Z,2023-01-27T05:19:00Z,ap-northeast-2,sts,false,N/A,N/A,N/A,N/A,false,N/A,false,N/A
devops,arn:aws:iam::226340078480:user/devops,2019-03-06T08:17:11Z,true,2021-05-18T08:53:29Z,2019-03-06T08:19:52Z,N/A,false,true,2019-03-06T08:17:13Z,2023-04-14T05:31:00Z,ap-northeast-2,elasticbeanstalk,true,2022-01-11T09:27:12Z,2024-12-16T05:55:00Z,ap-northeast-2,codedeploy,false,N/A,false,N/A
enfpy-brand-website-prod,arn:aws:iam::226340078480:user/enfpy-brand-website-prod,2022-11-08T08:04:42Z,false,N/A,N/A,N/A,false,true,2022-11-08T08:04:44Z,2022-11-08T09:15:00Z,ap-northeast-2,s3,false,N/A,N/A,N/A,N/A,false,N/A,false,N/A
enfpy-prod,arn:aws:iam::226340078480:user/enfpy-prod,2022-09-05T11:35:11Z,false,N/A,N/A,N/A,false,true,2022-09-05T11:35:12Z,2025-12-10T05:37:00Z,ap-northeast-2,es,false,N/A,N/A,N/A,N/A,false,N/A,false,N/A
facepointappserver,arn:aws:iam::226340078480:user/facepointappserver,2016-09-07T08:34:38Z,false,N/A,N/A,N/A,false,true,2016-09-07T08:34:38Z,2018-11-14T08:01:00Z,ap-northeast-2,s3,false,N/A,N/A,N/A,N/A,false,N/A,false,N/A
fizz,arn:aws:iam::226340078480:user/fizz,2024-07-02T10:33:20Z,true,2025-01-20T01:55:19Z,2024-07-02T12:44:00Z,N/A,true,true,2024-08-01T06:32:13Z,2025-01-20T06:45:00Z,ap-northeast-2,sts,false,N/A,N/A,N/A,N/A,false,N/A,false,N/A
glam-app-prod,arn:aws:iam::226340078480:user/glam-app-prod,2024-06-24T05:20:39Z,true,no_information,2024-06-24T05:20:40Z,N/A,false,true,2024-06-24T05:22:19Z,2025-12-10T05:39:00Z,ap-northeast-2,s3,false,N/A,N/A,N/A,N/A,false,N/A,false,N/A
glam-landing,arn:aws:iam::226340078480:user/glam-landing,2021-12-28T06:08:53Z,false,N/A,N/A,N/A,false,true,2021-12-28T06:08:54Z,2025-11-21T07:05:00Z,ap-northeast-2,s3,false,N/A,N/A,N/A,N/A,false,N/A,false,N/A
glam-redash-ec2,arn:aws:iam::226340078480:user/glam-redash-ec2,2022-06-08T07:52:32Z,false,N/A,N/A,N/A,false,true,2022-06-08T07:52:33Z,2025-12-10T05:38:00Z,ap-northeast-2,logs,false,N/A,N/A,N/A,N/A,false,N/A,false,N/A
hestia-prod,arn:aws:iam::226340078480:user/hestia-prod,2020-11-18T03:27:31Z,false,N/A,N/A,N/A,false,true,2020-11-18T03:27:33Z,N/A,N/A,N/A,false,N/A,N/A,N/A,N/A,false,N/A,false,N/A
hoozi,arn:aws:iam::226340078480:user/hoozi,2025-03-31T06:03:42Z,true,2025-12-10T01:54:27Z,2025-04-14T01:12:19Z,N/A,false,true,2025-10-27T05:59:28Z,2025-12-08T03:32:00Z,ap-northeast-2,ecs,false,N/A,N/A,N/A,N/A,false,N/A,false,N/A
iamTest,arn:aws:iam::226340078480:user/iamTest,2018-04-23T11:47:04Z,true,2018-04-23T11:49:47Z,2018-04-23T11:49:57Z,N/A,false,true,2018-04-23T11:47:06Z,N/A,N/A,N/A,false,N/A,N/A,N/A,N/A,false,N/A,false,N/A
jerry,arn:aws:iam::226340078480:user/jerry,2023-07-31T06:22:34Z,true,2024-01-18T02:46:11Z,2023-09-27T09:43:35Z,N/A,true,true,2023-08-01T07:56:01Z,N/A,N/A,N/A,false,N/A,N/A,N/A,N/A,false,N/A,false,N/A
jessie-api-prod,arn:aws:iam::226340078480:user/jessie-api-prod,2019-12-18T00:05:41Z,false,N/A,N/A,N/A,false,true,2019-12-18T00:05:42Z,N/A,N/A,N/A,false,N/A,N/A,N/A,N/A,false,N/A,false,N/A
jun,arn:aws:iam::226340078480:user/jun,2021-06-02T04:57:18Z,true,2021-12-28T02:32:44Z,2021-06-02T05:18:43Z,N/A,true,true,2021-06-02T04:57:20Z,N/A,N/A,N/A,false,N/A,N/A,N/A,N/A,false,N/A,false,N/A
kai,arn:aws:iam::226340078480:user/kai,2025-06-18T23:12:43Z,true,2025-12-04T09:52:47Z,2025-06-18T23:12:44Z,N/A,true,false,N/A,N/A,N/A,N/A,false,N/A,N/A,N/A,N/A,false,N/A,false,N/A
kosmos-prod,arn:aws:iam::226340078480:user/kosmos-prod,2022-12-26T11:46:10Z,false,N/A,N/A,N/A,false,true,2022-12-26T11:51:18Z,2025-06-16T09:56:00Z,ap-northeast-2,sts,false,N/A,N/A,N/A,N/A,false,N/A,false,N/A
matthew,arn:aws:iam::226340078480:user/matthew,2020-02-19T00:46:43Z,true,2024-04-23T05:54:17Z,2020-02-20T02:01:28Z,N/A,true,true,2020-02-19T00:46:44Z,2020-02-27T03:29:00Z,ap-northeast-2,s3,true,2022-03-10T12:18:19Z,2024-03-22T03:40:00Z,ap-northeast-2,sts,false,N/A,false,N/A
neo,arn:aws:iam::226340078480:user/neo,2023-10-11T06:29:33Z,true,2025-12-02T01:58:58Z,2023-10-11T06:29:34Z,N/A,false,true,2024-12-09T08:47:48Z,2025-12-02T02:09:00Z,ap-northeast-2,s3,false,N/A,N/A,N/A,N/A,false,N/A,false,N/A
nick,arn:aws:iam::226340078480:user/nick,2024-07-02T10:35:09Z,true,2025-12-09T01:09:01Z,2025-06-19T09:14:08Z,N/A,true,true,2024-08-19T05:05:34Z,2025-11-26T05:43:00Z,ap-northeast-2,ecs,false,N/A,N/A,N/A,N/A,false,N/A,false,N/A
onlypass,arn:aws:iam::226340078480:user/onlypass,2025-06-05T07:53:06Z,false,N/A,N/A,N/A,false,true,2025-06-05T07:53:36Z,2025-07-08T10:34:00Z,ap-northeast-2,rekognition,false,N/A,N/A,N/A,N/A,false,N/A,false,N/A
onlypass-app-prod,arn:aws:iam::226340078480:user/onlypass-app-prod,2025-06-05T09:32:24Z,false,N/A,N/A,N/A,false,true,2025-06-05T09:40:29Z,2025-12-10T05:38:00Z,ap-northeast-2,rekognition,false,N/A,N/A,N/A,N/A,false,N/A,false,N/A
potato-prod,arn:aws:iam::226340078480:user/potato-prod,2020-11-18T03:26:10Z,false,N/A,N/A,N/A,false,true,2020-11-18T03:26:12Z,2025-12-10T05:20:00Z,ap-northeast-2,firehose,false,N/A,N/A,N/A,N/A,false,N/A,false,N/A
qomi,arn:aws:iam::226340078480:user/qomi,2025-07-02T02:37:58Z,true,2025-07-08T02:57:26Z,2025-07-02T02:37:58Z,N/A,false,false,N/A,N/A,N/A,N/A,false,N/A,N/A,N/A,N/A,false,N/A,false,N/A
Redash,arn:aws:iam::226340078480:user/Redash,2021-07-26T06:48:44Z,false,N/A,N/A,N/A,false,true,2021-07-26T06:48:46Z,2025-12-10T05:26:00Z,ap-northeast-2,athena,false,N/A,N/A,N/A,N/A,false,N/A,false,N/A
rozay,arn:aws:iam::226340078480:user/rozay,2017-11-25T03:28:39Z,true,2024-07-08T04:00:57Z,2023-04-07T02:46:47Z,N/A,false,true,2018-02-13T07:31:20Z,2020-11-19T07:16:00Z,ap-northeast-2,cloudformation,true,2020-05-20T21:19:10Z,2021-05-04T02:27:00Z,ap-northeast-2,s3,false,N/A,false,N/A
rozay-iam,arn:aws:iam::226340078480:user/rozay-iam,2020-09-03T07:59:40Z,true,2020-09-03T08:19:21Z,2020-09-03T08:00:47Z,N/A,false,true,2020-09-03T07:59:41Z,N/A,N/A,N/A,false,N/A,N/A,N/A,N/A,false,N/A,false,N/A
ryan,arn:aws:iam::226340078480:user/ryan,2022-02-16T05:58:22Z,true,2025-10-12T02:18:32Z,2023-08-10T07:46:37Z,N/A,true,true,2024-12-19T14:28:40Z,2024-12-19T14:29:00Z,ap-northeast-2,s3,false,N/A,N/A,N/A,N/A,false,N/A,false,N/A
S3Full-ryan,arn:aws:iam::226340078480:user/S3Full-ryan,2023-08-10T08:02:31Z,false,N/A,N/A,N/A,false,true,2023-08-10T08:10:05Z,2025-12-09T19:03:00Z,ap-northeast-2,s3,false,N/A,N/A,N/A,N/A,false,N/A,false,N/A
thomas,arn:aws:iam::226340078480:user/thomas,2023-03-06T05:54:31Z,true,2024-03-15T01:34:32Z,2023-03-06T06:27:23Z,N/A,true,true,2023-03-06T05:54:55Z,2024-03-04T02:33:00Z,ap-northeast-2,sts,false,N/A,N/A,N/A,N/A,false,N/A,false,N/A
tori,arn:aws:iam::226340078480:user/tori,2023-08-16T02:56:51Z,true,2025-11-21T07:05:30Z,2023-08-16T05:33:36Z,N/A,true,true,2023-08-16T02:57:15Z,N/A,N/A,N/A,false,N/A,N/A,N/A,N/A,false,N/A,false,N/A
ue-app-server,arn:aws:iam::226340078480:user/ue-app-server,2019-06-18T05:03:45Z,false,N/A,N/A,N/A,false,true,2019-06-18T05:03:47Z,2025-12-10T05:35:00Z,ap-northeast-2,logs,false,N/A,N/A,N/A,N/A,false,N/A,false,N/A
valens,arn:aws:iam::226340078480:user/valens,2022-04-08T02:13:45Z,true,2025-11-28T01:59:48Z,2022-04-08T02:13:47Z,N/A,true,false,2022-04-08T02:13:47Z,2023-01-10T10:19:00Z,ap-northeast-2,rekognition,true,2024-08-01T06:50:51Z,2025-11-06T06:49:00Z,us-east-1,cloudfront,false,N/A,false,N/A
vulcanus-prod,arn:aws:iam::226340078480:user/vulcanus-prod,2022-09-14T08:44:35Z,false,N/A,N/A,N/A,false,true,2022-09-14T08:44:36Z,2025-12-04T03:00:00Z,ap-northeast-2,codedeploy,false,N/A,N/A,N/A,N/A,false,N/A,false,N/A
web-16types,arn:aws:iam::226340078480:user/web-16types,2020-08-25T01:09:21Z,false,N/A,N/A,N/A,false,true,2020-08-25T01:09:22Z,2020-09-02T02:25:00Z,ap-northeast-2,s3,false,N/A,N/A,N/A,N/A,false,N/A,false,N/A
yoon,arn:aws:iam::226340078480:user/yoon,2023-10-04T06:31:21Z,true,2024-01-16T03:20:50Z,2023-10-04T06:31:21Z,N/A,true,true,2023-10-10T02:53:53Z,2024-01-16T04:59:00Z,ap-northeast-2,sts,false,N/A,N/A,N/A,N/A,false,N/A,false,N/A
yosef,arn:aws:iam::226340078480:user/yosef,2022-01-05T03:48:42Z,true,2025-12-10T03:19:02Z,2022-01-05T03:48:44Z,N/A,true,true,2022-01-05T03:48:43Z,2025-12-04T01:59:00Z,ap-northeast-2,sts,false,N/A,N/A,N/A,N/A,false,N/A,false,N/A
yourls-prod,arn:aws:iam::226340078480:user/yourls-prod,2022-05-18T08:30:19Z,false,N/A,N/A,N/A,false,true,2022-05-18T08:30:21Z,2022-05-27T10:05:00Z,ap-northeast-2,codedeploy,false,N/A,N/A,N/A,N/A,false,N/A,false,N/A